electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum,scraperID
2004,14431,34010,168,231,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=14&comboTribunal=ba,174
2004,14431,34010,169,230,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=14&comboTribunal=ba,175
2004,14431,34037,92,012/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=012/2004&comboTribunal=ba,176
2004,14431,34070,6,007/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=314/2004&comboTribunal=ba,177
2004,14431,34070,3,004/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=314/2004&comboTribunal=ba,178
2004,14431,34193,175,108/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=760/2004&comboTribunal=ba,179
2004,14431,34193,129,074/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=715/2004&comboTribunal=ba,180
2004,14431,34258,105,101/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=119/04&comboTribunal=ba,181
2004,14431,34339,118,009.1B/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=009/2004&comboTribunal=ba,182
2004,14431,34339,28,005.8B/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=005&comboTribunal=ba,183
2004,14431,34339,29,005.9B/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=005&comboTribunal=ba,184
2004,14431,34339,37,005.17B/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=005&comboTribunal=ba,185
2004,14431,34355,52,128/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=048&comboTribunal=ba,186
2004,14431,34355,23,097/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=017&comboTribunal=ba,187
2004,14431,34363,118,130/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=607/2004&comboTribunal=ba,188
2004,14431,34363,119,131/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=608/2004&comboTribunal=ba,189
2004,14431,34363,109,120/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,190
2004,14431,34363,111,121/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,191
2004,14431,34363,112,119/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,192
2004,14431,34363,107,116/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,193
2004,14431,34363,108,117/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,194
2004,14431,34363,113,118/2004,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=null&comboTribunal=ba,195
2004,14431,34398,146,124/04,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=143/04&comboTribunal=ba,196
2004,14431,34495,96,3.1,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=87&comboTribunal=ba,197
2004,14431,34495,110,3.2,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=88&comboTribunal=ba,198
2004,14431,34495,105,3.3,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=103&comboTribunal=ba,199
2004,14431,34495,101,3.7,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=99&comboTribunal=ba,200
2004,14431,34495,104,3.8,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=102&comboTribunal=ba,201
