,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
0,electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
4263,2008,14422,25291,1659,57/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=57&comboTribunal=pe
4264,2008,14422,25470,5753,072/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=072/08&comboTribunal=pe
4265,2008,14422,25577,792,026/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=026&comboTribunal=pe
4266,2008,14422,26050,5359,36/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=17/2008&comboTribunal=pe
4267,2008,14422,26093,1857,61,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=26&comboTribunal=pe
4268,2008,14422,26093,2142,107,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=72&comboTribunal=pe
4269,2008,14422,26093,1858,62,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=27&comboTribunal=pe
4270,2008,14422,10138,1551,225-G,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=120/08&comboTribunal=pi
4271,2008,14422,10138,1552,226-G,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=121/08&comboTribunal=pi
4272,2008,14422,10049,8081,029-B/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=020/2008&comboTribunal=pi
4273,2008,14422,10251,1021,36-c/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=1060/08&comboTribunal=pi
4274,2008,14422,10324,774,d41/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=41/2008&comboTribunal=pi
4275,2008,14422,11479,3835,146i,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=146&comboTribunal=pi
4276,2008,14422,11819,8408,087-E/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=132/2008&comboTribunal=pi
4277,2008,17522,12319,9965,30-55.2011.6.18.0029,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=213042011&comboTribunal=pi
4278,2008,17522,12319,9968,28-85.2011.6.18.0029,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=209312011&comboTribunal=pi
4279,2008,17522,10243,10087,Informação ainda não disponível,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=undefined&comboTribunal=null
4280,2008,17522,10243,10088,Informação ainda não disponível,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=undefined&comboTribunal=null
4281,2008,17522,10677,9606,303520/2010,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=25.495/2010&comboTribunal=pi
4282,2008,17522,10677,9607,303605/2010,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=25.496/2010&comboTribunal=pi
4283,2008,17522,10855,9925,11-16.2011.6.18.0040,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=17649/2011&comboTribunal=pi
4284,2008,17522,10855,9926,12-98.2011.6.18.0040,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=17650/2011&comboTribunal=pi
4285,2008,17522,10979,9504,1329-77/2010,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=11.788/2010&comboTribunal=pi
4286,2008,17522,11452,9866,27352011,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=138172011&comboTribunal=pi
4287,2008,14422,74012,2758,098/2008,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=501/2008&comboTribunal=pr
4288,2008,14422,74071,27034,330/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=765/08&comboTribunal=pr
4289,2008,14422,74071,27035,331/08,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=766/08&comboTribunal=pr
